codigo_ibge,nome_municipio
379,Alto Alegre dos Parecis
403,Alto Paraíso
346,Alvorada D'Oeste
23,Ariquemes
452,Buritis
31,Cabixi
601,Cacaulândia
49,Cacoal
700,Campo Novo de Rondônia
809,Candeias do Jamari
908,Castanheiras
56,Cerejeiras
924,Chupinguaia
64,Colorado do Oeste
72,Corumbiara
80,Costa Marques
940,Cujubim
98,Espigão D'Oeste
1005,Governador Jorge Teixeira
106,Guajará-Mirim
1104,Itapuã do Oeste
114,Jaru
122,Ji-Paraná
130,Machadinho D'Oeste
1203,Ministro Andreazza
1302,Mirante da Serra
1401,Monte Negro
148,Nova Brasilândia D'Oeste
338,Nova Mamoré
1435,Nova União
502,Novo Horizonte do Oeste
155,Ouro Preto do Oeste
1450,Parecis
189,Pimenta Bueno
1468,Pimenteiras do Oeste
205,Porto Velho
254,Presidente Médici
1476,Primavera de Rondônia
262,Rio Crespo
288,Rolim de Moura
296,Santa Luzia D'Oeste
1484,São Felipe D'Oeste
1492,São Francisco do Guaporé
320,São Miguel do Guaporé
1500,Seringueiras
1559,Teixeirópolis
1609,Theobroma
1708,Urupá
1757,Vale do Anari
1807,Vale do Paraíso
304,Vilhena
13,Acrelândia
54,Assis Brasil
104,Brasiléia
138,Bujari
179,Capixaba
203,Cruzeiro do Sul
252,Epitaciolândia
302,Feijó
328,Jordão
336,Mâncio Lima
344,Manoel Urbano
351,Marechal Thaumaturgo
385,Plácido de Castro
807,Porto Acre
393,Porto Walter
401,Rio Branco
427,Rodrigues Alves
435,Santa Rosa do Purus
500,Sena Madureira
450,Senador Guiomard
609,Tarauacá
708,Xapuri
29,Alvarães
60,Amaturá
86,Anamã
102,Anori
144,Apuí
201,Atalaia do Norte
300,Autazes
409,Barcelos
508,Barreirinha
607,Benjamin Constant
631,Beruri
680,Boa Vista do Ramos
706,Boca do Acre
805,Borba
839,Caapiranga
904,Canutama
1001,Carauari
1100,Careiro
1159,Careiro da Várzea
1209,Coari
1308,Codajás
1407,Eirunepé
1506,Envira
1605,Fonte Boa
1654,Guajará
1704,Humaitá
1803,Ipixuna
1852,Iranduba
1902,Itacoatiara
1951,Itamarati
2009,Itapiranga
2108,Japurá
2207,Juruá
2306,Jutaí
2405,Lábrea
2504,Manacapuru
2553,Manaquiri
2603,Manaus
2702,Manicoré
2801,Maraã
2900,Maués
3007,Nhamundá
3106,Nova Olinda do Norte
3205,Novo Airão
3304,Novo Aripuanã
3403,Parintins
3502,Pauini
3536,Presidente Figueiredo
3569,Rio Preto da Eva
3601,Santa Isabel do Rio Negro
3700,Santo Antônio do Içá
3809,São Gabriel da Cachoeira
3908,São Paulo de Olivença
3957,São Sebastião do Uatumã
4005,Silves
4062,Tabatinga
4104,Tapauá
4203,Tefé
4237,Tonantins
4260,Uarini
4302,Urucará
4401,Urucurituba
50,Alto Alegre
27,Amajari
100,Boa Vista
159,Bonfim
175,Cantá
209,Caracaraí
233,Caroebe
282,Iracema
308,Mucajaí
407,Normandia
456,Pacaraima
472,Rorainópolis
506,São João da Baliza
605,São Luiz
704,Uiramutã
107,Abaetetuba
131,Abel Figueiredo
206,Acará
305,Afuá
347,Água Azul do Norte
404,Alenquer
503,Almeirim
602,Altamira
701,Anajás
800,Ananindeua
859,Anapu
909,Augusto Corrêa
958,Aurora do Pará
1006,Aveiro
1105,Bagre
1204,Baião
1253,Bannach
1303,Barcarena
1402,Belém
1451,Belterra
1501,Benevides
1576,Bom Jesus do Tocantins
1600,Bonito
1709,Bragança
1725,Brasil Novo
1758,Brejo Grande do Araguaia
1782,Breu Branco
1808,Breves
1907,Bujaru
2004,Cachoeira do Arari
1956,Cachoeira do Piriá
2103,Cametá
2152,Canaã dos Carajás
2202,Capanema
2301,Capitão Poço
2400,Castanhal
2509,Chaves
2608,Colares
2707,Conceição do Araguaia
2756,Concórdia do Pará
2764,Cumaru do Norte
2772,Curionópolis
2806,Curralinho
2855,Curuá
2905,Curuçá
2939,Dom Eliseu
2954,Eldorado do Carajás
3002,Faro
3044,Floresta do Araguaia
3077,Garrafão do Norte
3093,Goianésia do Pará
3101,Gurupá
3200,Igarapé-Açu
3309,Igarapé-Miri
3408,Inhangapi
3457,Ipixuna do Pará
3507,Irituia
3606,Itaituba
3705,Itupiranga
3754,Jacareacanga
3804,Jacundá
3903,Juruti
4000,Limoeiro do Ajuru
4059,Mãe do Rio
4109,Magalhães Barata
4208,Marabá
4307,Maracanã
4406,Marapanim
4422,Marituba
4455,Medicilândia
4505,Melgaço
4604,Mocajuba
4703,Moju
4752,Mojuí dos Campos
4802,Monte Alegre
4901,Muaná
4950,Nova Esperança do Piriá
4976,Nova Ipixuna
5007,Nova Timboteua
5031,Novo Progresso
5064,Novo Repartimento
5106,Óbidos
5205,Oeiras do Pará
5304,Oriximiná
5403,Ourém
5437,Ourilândia do Norte
5486,Pacajá
5494,Palestina do Pará
5502,Paragominas
5536,Parauapebas
5551,Pau D'Arco
5601,Peixe-Boi
5635,Piçarra
5650,Placas
5700,Ponta de Pedras
5809,Portel
5908,Porto de Moz
6005,Prainha
6104,Primavera
6112,Quatipuru
6138,Redenção
6161,Rio Maria
6187,Rondon do Pará
6195,Rurópolis
6203,Salinópolis
6302,Salvaterra
6351,Santa Bárbara do Pará
6401,Santa Cruz do Arari
6500,Santa Izabel do Pará
6559,Santa Luzia do Pará
6583,Santa Maria das Barreiras
6609,Santa Maria do Pará
6708,Santana do Araguaia
6807,Santarém
6906,Santarém Novo
7003,Santo Antônio do Tauá
7102,São Caetano de Odivelas
7151,São Domingos do Araguaia
7201,São Domingos do Capim
7300,São Félix do Xingu
7409,São Francisco do Pará
7458,São Geraldo do Araguaia
7466,São João da Ponta
7474,São João de Pirabas
7508,São João do Araguaia
7607,São Miguel do Guamá
7706,São Sebastião da Boa Vista
7755,Sapucaia
7805,Senador José Porfírio
7904,Soure
7953,Tailândia
7961,Terra Alta
7979,Terra Santa
8001,Tomé-Açu
8035,Tracuateua
8050,Trairão
8084,Tucumã
8100,Tucuruí
8126,Ulianópolis
8159,Uruará
8209,Vigia
8308,Viseu
8357,Vitória do Xingu
8407,Xinguara
105,Amapá
204,Calçoene
212,Cutias
238,Ferreira Gomes
253,Itaubal
279,Laranjal do Jari
303,Macapá
402,Mazagão
501,Oiapoque
154,Pedra Branca do Amapari
535,Porto Grande
550,Pracuúba
600,Santana
55,Serra do Navio
709,Tartarugalzinho
808,Vitória do Jari
251,Abreulândia
301,Aguiarnópolis
350,Aliança do Tocantins
400,Almas
707,Alvorada
1002,Ananás
1051,Angico
